Comment,Designator,Footprint,JLCPCB Part #
TLV73333PDBV,U4,SOT-23-5,C134139
27,"R4,R3",R_0402_1005Metric,C138021
30p,"C19,C18",C_0402_1005Metric,C1570
100n,"C2,C4,C5,C9,C8,C6,C7,C1,C17,C3",C_0402_1005Metric,C1525
,"D_D,D_<,D_ALT2,D_SHFT2,D_Q,D_O,D_E,D_3,D_I,D_C,D_M,D_/,D_DOWN,D_A,D_Y,D_U,D_2,D_G,D_MENU,D_P,D_R,D_CTRL,D_0,D_],D_UP,D_Z,D_LEFT,D_WIN,D_8,D_K,D_QUO,D_SPC,D_H,D_5,D_N,D_7,D_COL,D_>,D_TAB,D_RET,D_B,D_4,D_L,D_X,D_RGHT,D_[,D_6,D_1,D_ESC,D_9,D_T,D_F,D_S,D_-,D_SHFT1,D_BSPC,D_=,D_ALT1,D_J,D_W,D_V,D_FN,D_\",D_SOD-123F,C402213
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
1u,"C15,C13,C16,C10",C_0402_1005Metric,C52923
W25Q128JVS,U5,SOIC-8_5.23x5.23mm_P1.27mm,C97521
1k,"R6,R7",R_0402_1005Metric,C11702
RP2040,U3,RP2040-QFN-56,C2040
10k,R5,R_0402_1005Metric,C25744
