Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"C2,C4,C5,C9,C8,C6,C7,C1,C17,C3",C_0402_1005Metric,10,100n,C1525
2,"C15,C13,C16,C10",C_0402_1005Metric,4,1u,C52923
3,"C19,C18",C_0402_1005Metric,2,30p,C1570
4,U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
5,"R6,R7",R_0402_1005Metric,2,1k,C11702
6,U3,RP2040-QFN-56,1,RP2040,C2040
7,"R4,R3",R_0402_1005Metric,2,27,C138021
8,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
9,"SW2,SW1",SW_SPST_Omron_B3FS-100xP,2,SW_Push,C271750
10,R5,R_0402_1005Metric,1,10k,C25744
11,U4,SOT-23-5,1,TLV73333PDBV,C134139
